fund_id,fund_name,ticker,canonical_name,country,sector,weight_pct,asset_name,isin_raw,isin_master
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,FPH,Fisher & Paykel Healthcare,NZ,Healthcare,15.56,Fisher & Paykel Healthcare Ltd,,NZFAPE0001S2
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,IFT,Infratil,NZ,Infrastructure,14.7,Infratil Ltd,,NZIFTE0003S3
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,CEN,Contact Energy,NZ,Gentailers,8.36,Contact Energy Ltd,,NZCENE0001S6
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,AIA,Auckland International Airport,NZ,Infrastructure,6.87,Auckland International Airport Ltd,,NZAIAE0002S6
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,EBO,EBOS Group,NZ,Healthcare,6.69,Ebos Group Ltd,,NZEBOE0001S6
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,SUM,Summerset Group,NZ,Retirement,6.61,Summerset Group Holdings Ltd,,NZSUME0001S0
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,MEL,Meridian Energy,NZ,Gentailers,6.58,Meridian Energy Limited,,NZMELE0002S7
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,MFT,Mainfreight,NZ,Industrials,6.29,Mainfreight Ltd,,NZMFTE0001S9
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,ATM,a2 Milk Company,NZ,Consumer Staples,3.91,A2 Milk Company Ltd,,NZATME0002S8
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,SPK,Spark New Zealand,NZ,Telco,3.57,Spark New Zealand Ltd,,NZTELE0001S4
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,SKO,Serko,NZ,Technology,2.45,Serko Ltd,,NZSKOE0001S7
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,TWR,Tower,NZ,Financials,2.37,Tower Ltd,,NZTWRE0011S2
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,SKL,Skellerup Holdings,NZ,Industrials,2.3,Skellerup Holdings Ltd,,NZSKXE0001S8
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,NPH,Napier Port Holdings,NZ,Infrastructure,2.2,Napier Port Holdings Ltd,,NZNPHE0005S2
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,SCL,Scales Corp,NZ,Consumer Staples,2.14,Scales Corporation Limited,,NZSCLE0002S8
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,FRW,Freightways Group,NZ,Industrials,1.7,Freightways Group Ltd,,NZFREE0001S0
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,VSL,Vulcan Steel,AU,Industrials,1.17,VULCAN STEEL LIMITED,,AU0000181984
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,VGL,Vista Group International,NZ,Technology,0.97,Vista Group International Ltd,,NZVGLE0003S1
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,THL,Tourism Holdings,NZ,Consumer Discretionary,0.94,Tourism Holdings Ltd,,NZHELE0001S9
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,FBU,Fletcher Building,NZ,Industrials,0.78,Fletcher Building Ltd,,NZFBUE0001S0
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,SPG,Stride Property Group,NZ,Property,0.54,Stride Property Ltd and Stride Invest Mgmt Ltd,,NZSPGE0001S2
FND22677,MINT NEW ZEALAND SRI EQUITY FUND,RYM,Ryman Healthcare,NZ,Retirement,0.18,Ryman Healthcare Ltd,,NZRYME0001S4
FND901,CLARITY TRANS-TASMAN VALUE FUND,BHP,BHP Group,AU,Materials,6.78,BHP Group Ltd,,AU000000BHP4
FND901,CLARITY TRANS-TASMAN VALUE FUND,NAB,National Australia Bank,AU,Financials,5.21,National Australia Bank Ltd,,AU000000NAB4
FND901,CLARITY TRANS-TASMAN VALUE FUND,ANZ,ANZ Group Holdings,AU,Financials,4.88,ANZ Group Holdings Ltd,,AU000000ANZ3
FND901,CLARITY TRANS-TASMAN VALUE FUND,IFT,Infratil,NZ,Infrastructure,4.19,Infratil Ltd,,NZIFTE0003S3
FND901,CLARITY TRANS-TASMAN VALUE FUND,MEL,Meridian Energy,NZ,Gentailers,3.84,Meridian Energy Limited,,NZMELE0002S7
FND901,CLARITY TRANS-TASMAN VALUE FUND,SPK,Spark New Zealand,NZ,Telco,3.28,Spark New Zealand Ltd,,NZTELE0001S4
FND901,CLARITY TRANS-TASMAN VALUE FUND,EBO,EBOS Group,NZ,Healthcare,2.89,Ebos Group Ltd,,NZEBOE0001S6
FND901,CLARITY TRANS-TASMAN VALUE FUND,CSL,CSL,AU,Healthcare,2.78,CSL Limited,,AU000000CSL8
FND901,CLARITY TRANS-TASMAN VALUE FUND,SKT,Sky Network Television,NZ,Communications,2.6,Sky Network Television Ltd,,NZSKTE0001S6
FND901,CLARITY TRANS-TASMAN VALUE FUND,TWR,Tower,NZ,Financials,2.35,Tower Ltd,,NZTWRE0011S2
FND901,CLARITY TRANS-TASMAN VALUE FUND,ATM,a2 Milk Company,NZ,Consumer Staples,2.33,A2 Milk Company Ltd,,NZATME0002S8
FND901,CLARITY TRANS-TASMAN VALUE FUND,GNE,Genesis Energy,NZ,Gentailers,2.21,Genesis Energy Ltd,,NZGNEE0001S7
FND901,CLARITY TRANS-TASMAN VALUE FUND,GMG,Goodman Group,AU,Property,2.13,Goodman Group,,AU000000GMG2
FND901,CLARITY TRANS-TASMAN VALUE FUND,ARG,Argosy Property,NZ,Property,2.09,Argosy Property Trust,,NZARGE0010S7
FND901,CLARITY TRANS-TASMAN VALUE FUND,CEN,Contact Energy,NZ,Gentailers,2.02,Contact Energy Ltd,,NZCENE0001S6
FND901,CLARITY TRANS-TASMAN VALUE FUND,FRW,Freightways Group,NZ,Industrials,1.82,Freightways Group Ltd,,NZFREE0001S0
FND901,CLARITY TRANS-TASMAN VALUE FUND,MCY,Mercury NZ,NZ,Gentailers,1.78,Mercury NZ Limited,,NZMRPE0001S2
FND901,CLARITY TRANS-TASMAN VALUE FUND,PCT,Precinct Properties,NZ,Property,1.78,Precinct Properties NZ Ltd,,NZAPTE0001S3
FND901,CLARITY TRANS-TASMAN VALUE FUND,AMC,Amcor PLC,AU,Materials,1.62,Amcor Ltd,,JE00BJ1F3079
FND901,CLARITY TRANS-TASMAN VALUE FUND,MQG,Macquarie Group,AU,Financials,1.57,Macquarie Group Ltd,,AU000000MQG1
FND901,CLARITY TRANS-TASMAN VALUE FUND,RYM,Ryman Healthcare,NZ,Retirement,1.54,Ryman Healthcare Ltd,,NZRYME0001S4
FND901,CLARITY TRANS-TASMAN VALUE FUND,RHC,Ramsay Health Care,AU,Healthcare,1.53,Ramsay Health Care Ltd,,AU000000RHC8
FND901,CLARITY TRANS-TASMAN VALUE FUND,SCL,Scales Corp,NZ,Consumer Staples,1.53,Scales Corporation Limited,,NZSCLE0002S8
FND901,CLARITY TRANS-TASMAN VALUE FUND,CHI,Channel Infrastructure,NZ,Infrastructure,1.49,Channel Infrastructure NZ Limited,,NZNZRE0001S9
FND901,CLARITY TRANS-TASMAN VALUE FUND,SUM,Summerset Group,NZ,Retirement,1.47,Summerset Group Holdings Ltd,,NZSUME0001S0
FND901,CLARITY TRANS-TASMAN VALUE FUND,VHP,Vital Healthcare Property Trust,NZ,Property,1.46,Vital Healthcare Property Trust,,NZCHPE0001S4
FND901,CLARITY TRANS-TASMAN VALUE FUND,FBU,Fletcher Building,NZ,Industrials,1.41,Fletcher Building Ltd,,NZFBUE0001S0
FND901,CLARITY TRANS-TASMAN VALUE FUND,RMD,ResMed,AU,Healthcare,1.39,Resmed Inc,,US7611521078
FND901,CLARITY TRANS-TASMAN VALUE FUND,MFT,Mainfreight,NZ,Industrials,1.36,Mainfreight Ltd,,NZMFTE0001S9
FND901,CLARITY TRANS-TASMAN VALUE FUND,POT,Port of Tauranga,NZ,Infrastructure,1.28,Port of Tauranga Ltd,,NZPOTE0003S0
FND901,CLARITY TRANS-TASMAN VALUE FUND,STO,Santos,AU,Energy,1.27,Santos Ltd,,AU000000STO6
FND901,CLARITY TRANS-TASMAN VALUE FUND,CNU,Chorus,NZ,Telco,1.24,Chorus Ltd,,NZCNUE0001S2
FND901,CLARITY TRANS-TASMAN VALUE FUND,WES,Wesfarmers,AU,Consumer Discretionary,1.18,Wesfarmers Limited,,AU000000WES1
FND901,CLARITY TRANS-TASMAN VALUE FUND,KPG,Kiwi Property Group,NZ,Property,1.09,Kiwi Property Group Ltd,,NZKPGE0001S9
FND901,CLARITY TRANS-TASMAN VALUE FUND,FPH,Fisher & Paykel Healthcare,NZ,Healthcare,1.07,Fisher & Paykel Healthcare Ltd,,NZFAPE0001S2
FND901,CLARITY TRANS-TASMAN VALUE FUND,TLS,Telstra Group,AU,Telco,0.98,Telstra Corp Ltd,,AU000000TLS2
FND901,CLARITY TRANS-TASMAN VALUE FUND,VGL,Vista Group International,NZ,Technology,0.96,Vista Group International Ltd,,NZVGLE0003S1
FND901,CLARITY TRANS-TASMAN VALUE FUND,AIA,Auckland International Airport,NZ,Infrastructure,0.91,Auckland International Airport Ltd,,NZAIAE0002S6
FND901,CLARITY TRANS-TASMAN VALUE FUND,NEM,Newmont,AU,Materials,0.75,NEWMONT CORP-CDI,,US6516391066
FND901,CLARITY TRANS-TASMAN VALUE FUND,NST,Northern Star Resources,AU,Materials,0.74,Northern Star Resources Ltd,,AU000000NST8
FND901,CLARITY TRANS-TASMAN VALUE FUND,WDS,Woodside Energy Group,AU,Energy,0.67,Woodside Energy Group Ltd,,AU0000024137
FND901,CLARITY TRANS-TASMAN VALUE FUND,PDN,Paladin Energy,AU,Energy,0.5,Paladin Energy Ltd,,AU000000PDN8
FND901,CLARITY TRANS-TASMAN VALUE FUND,SAN,Sanford,NZ,Consumer Staples,0.39,Sanford Ltd,,NZSANE0001S0
FND16067,CLARITY NEW ZEALAND EQUITY FUND,FPH,Fisher & Paykel Healthcare,NZ,Healthcare,13.57,Fisher & Paykel Healthcare Ltd,,NZFAPE0001S2
FND16067,CLARITY NEW ZEALAND EQUITY FUND,IFT,Infratil,NZ,Infrastructure,9.92,Infratil Ltd,,NZIFTE0003S3
FND16067,CLARITY NEW ZEALAND EQUITY FUND,AIA,Auckland International Airport,NZ,Infrastructure,8.0,Auckland International Airport Ltd,,NZAIAE0002S6
FND16067,CLARITY NEW ZEALAND EQUITY FUND,MEL,Meridian Energy,NZ,Gentailers,6.6,Meridian Energy Limited,,NZMELE0002S7
FND16067,CLARITY NEW ZEALAND EQUITY FUND,EBO,EBOS Group,NZ,Healthcare,5.3,Ebos Group Ltd,,NZEBOE0001S6
FND16067,CLARITY NEW ZEALAND EQUITY FUND,CEN,Contact Energy,NZ,Gentailers,5.1,Contact Energy Ltd,,NZCENE0001S6
FND16067,CLARITY NEW ZEALAND EQUITY FUND,ATM,a2 Milk Company,NZ,Consumer Staples,5.02,A2 Milk Company Ltd,,NZATME0002S8
FND16067,CLARITY NEW ZEALAND EQUITY FUND,SPK,Spark New Zealand,NZ,Telco,3.69,Spark New Zealand Ltd,,NZTELE0001S4
FND16067,CLARITY NEW ZEALAND EQUITY FUND,MFT,Mainfreight,NZ,Industrials,2.98,Mainfreight Ltd,,NZMFTE0001S9
FND16067,CLARITY NEW ZEALAND EQUITY FUND,SKT,Sky Network Television,NZ,Communications,2.42,Sky Network Television Ltd,,NZSKTE0001S6
FND16067,CLARITY NEW ZEALAND EQUITY FUND,TWR,Tower,NZ,Financials,2.29,Tower Ltd,,NZTWRE0011S2
FND16067,CLARITY NEW ZEALAND EQUITY FUND,FRW,Freightways Group,NZ,Industrials,2.24,Freightways Group Ltd,,NZFREE0001S0
FND16067,CLARITY NEW ZEALAND EQUITY FUND,MCY,Mercury NZ,NZ,Gentailers,2.22,Mercury NZ Limited,,NZMRPE0001S2
FND16067,CLARITY NEW ZEALAND EQUITY FUND,ARG,Argosy Property,NZ,Property,2.15,Argosy Property Trust,,NZARGE0010S7
FND16067,CLARITY NEW ZEALAND EQUITY FUND,PCT,Precinct Properties,NZ,Property,2.04,Precinct Properties NZ Ltd,,NZAPTE0001S3
FND16067,CLARITY NEW ZEALAND EQUITY FUND,RYM,Ryman Healthcare,NZ,Retirement,2.01,Ryman Healthcare Ltd,,NZRYME0001S4
FND16067,CLARITY NEW ZEALAND EQUITY FUND,FBU,Fletcher Building,NZ,Industrials,1.93,Fletcher Building Ltd,,NZFBUE0001S0
FND16067,CLARITY NEW ZEALAND EQUITY FUND,SUM,Summerset Group,NZ,Retirement,1.89,Summerset Group Holdings Ltd,,NZSUME0001S0
FND16067,CLARITY NEW ZEALAND EQUITY FUND,POT,Port of Tauranga,NZ,Infrastructure,1.71,Port of Tauranga Ltd,,NZPOTE0003S0
FND16067,CLARITY NEW ZEALAND EQUITY FUND,SCL,Scales Corp,NZ,Consumer Staples,1.69,Scales Corporation Limited,,NZSCLE0002S8
FND16067,CLARITY NEW ZEALAND EQUITY FUND,VHP,Vital Healthcare Property Trust,NZ,Property,1.65,Vital Healthcare Property Trust,,NZCHPE0001S4
FND16067,CLARITY NEW ZEALAND EQUITY FUND,CHI,Channel Infrastructure,NZ,Infrastructure,1.57,Channel Infrastructure NZ Limited,,NZNZRE0001S9
FND16067,CLARITY NEW ZEALAND EQUITY FUND,CNU,Chorus,NZ,Telco,1.49,Chorus Ltd,,NZCNUE0001S2
FND16067,CLARITY NEW ZEALAND EQUITY FUND,KPG,Kiwi Property Group,NZ,Property,1.32,Kiwi Property Group Ltd,,NZKPGE0001S9
FND16067,CLARITY NEW ZEALAND EQUITY FUND,GNE,Genesis Energy,NZ,Gentailers,1.25,Genesis Energy Ltd,,NZGNEE0001S7
FND16067,CLARITY NEW ZEALAND EQUITY FUND,VGL,Vista Group International,NZ,Technology,0.95,Vista Group International Ltd,,NZVGLE0003S1
FND16067,CLARITY NEW ZEALAND EQUITY FUND,SAN,Sanford,NZ,Consumer Staples,0.81,Sanford Ltd,,NZSANE0001S0
FND16067,CLARITY NEW ZEALAND EQUITY FUND,NPH,Napier Port Holdings,NZ,Infrastructure,0.65,Napier Port Holdings Ltd,,NZNPHE0005S2
FND20455,SALT CORE NZ SHARES FUND,FPH,Fisher & Paykel Healthcare,NZ,Healthcare,15.96,Fisher & Paykel Healthcare Ltd,,NZFAPE0001S2
FND20455,SALT CORE NZ SHARES FUND,IFT,Infratil,NZ,Infrastructure,9.69,Infratil Ltd,,NZIFTE0003S3
FND20455,SALT CORE NZ SHARES FUND,AIA,Auckland International Airport,NZ,Infrastructure,9.42,Auckland International Airport Ltd,,NZAIAE0002S6
FND20455,SALT CORE NZ SHARES FUND,CEN,Contact Energy,NZ,Gentailers,6.12,Contact Energy Ltd,,NZCENE0001S6
FND20455,SALT CORE NZ SHARES FUND,EBO,EBOS Group,NZ,Healthcare,5.75,Ebos Group Ltd,,NZEBOE0001S6
FND20455,SALT CORE NZ SHARES FUND,MCY,Mercury NZ,NZ,Gentailers,4.64,Mercury NZ Limited,,NZMRPE0001S2
FND20455,SALT CORE NZ SHARES FUND,ATM,a2 Milk Company,NZ,Consumer Staples,4.05,A2 Milk Company Ltd,,NZATME0002S8
FND20455,SALT CORE NZ SHARES FUND,MEL,Meridian Energy,NZ,Gentailers,3.88,Meridian Energy Limited,,NZMELE0002S7
FND20455,SALT CORE NZ SHARES FUND,MFT,Mainfreight,NZ,Industrials,3.85,Mainfreight Ltd,,NZMFTE0001S9
FND20455,SALT CORE NZ SHARES FUND,FRW,Freightways Group,NZ,Industrials,3.17,Freightways Group Ltd,,NZFREE0001S0
FND20455,SALT CORE NZ SHARES FUND,FBU,Fletcher Building,NZ,Industrials,2.65,Fletcher Building Ltd,,NZFBUE0001S0
FND20455,SALT CORE NZ SHARES FUND,SPK,Spark New Zealand,NZ,Telco,2.51,Spark New Zealand Ltd,,NZTELE0001S4
FND20455,SALT CORE NZ SHARES FUND,POT,Port of Tauranga,NZ,Infrastructure,2.41,Port of Tauranga Ltd,,NZPOTE0003S0
FND20455,SALT CORE NZ SHARES FUND,GMT,Goodman Property Trust,NZ,Property,2.18,Goodman Property Trust,,NZCPTE0001S9
FND20455,SALT CORE NZ SHARES FUND,ANZ,ANZ Group Holdings,AU,Financials,1.93,ANZ Group Holdings Ltd,,AU000000ANZ3
FND20455,SALT CORE NZ SHARES FUND,CNU,Chorus,NZ,Telco,1.79,Chorus Ltd,,NZCNUE0001S2
FND20455,SALT CORE NZ SHARES FUND,HGH,Heartland Group Holdings,NZ,Financials,1.73,Heartland Group Holdings Ltd,,NZHGHE0007S9
FND20455,SALT CORE NZ SHARES FUND,TWR,Tower,NZ,Financials,1.67,Tower Ltd,,NZTWRE0011S2
FND20455,SALT CORE NZ SHARES FUND,RYM,Ryman Healthcare,NZ,Retirement,1.5,Ryman Healthcare Ltd,,NZRYME0001S4
FND20455,SALT CORE NZ SHARES FUND,GNE,Genesis Energy,NZ,Gentailers,1.42,Genesis Energy Ltd,,NZGNEE0001S7
FND20455,SALT CORE NZ SHARES FUND,SUM,Summerset Group,NZ,Retirement,1.31,Summerset Group Holdings Ltd,,NZSUME0001S0
FND20455,SALT CORE NZ SHARES FUND,ARG,Argosy Property,NZ,Property,1.21,Argosy Property Trust,,NZARGE0010S7
FND20455,SALT CORE NZ SHARES FUND,GTK,Gentrack Group,NZ,Technology,1.02,Gentrack Group Ltd,,NZGTKE0002S9
FND20455,SALT CORE NZ SHARES FUND,TRA,Turners Automotive Group,NZ,Consumer Discretionary,0.96,Turners Automotive Group Ltd,,NZVNLE0001S1
FND20455,SALT CORE NZ SHARES FUND,PCT,Precinct Properties,NZ,Property,0.9,Precinct Properties NZ Ltd,,NZAPTE0001S3
FND20455,SALT CORE NZ SHARES FUND,SPG,Stride Property Group,NZ,Property,0.81,Stride Property Ltd and Stride Invest Mgmt Ltd,,NZSPGE0001S2
FND20455,SALT CORE NZ SHARES FUND,VCT,Vector,NZ,Infrastructure,0.81,Vector Ltd,,NZVCTE0001S7
FND20455,SALT CORE NZ SHARES FUND,VHP,Vital Healthcare Property Trust,NZ,Property,0.77,Vital Healthcare Property Trust,,NZCHPE0001S4
FND20455,SALT CORE NZ SHARES FUND,VGL,Vista Group International,NZ,Technology,0.65,Vista Group International Ltd,,NZVGLE0003S1
FND20455,SALT CORE NZ SHARES FUND,CSL,CSL,AU,Healthcare,0.55,CSL Limited,,AU000000CSL8
FND20455,SALT CORE NZ SHARES FUND,ORI,Orica,AU,Materials,0.38,Orica Ltd,,AU000000ORI1
FND20455,SALT CORE NZ SHARES FUND,RMD,ResMed,AU,Healthcare,0.34,Resmed Inc,,US7611521078
FND20455,SALT CORE NZ SHARES FUND,PEB,Pacific Edge,NZ,Healthcare,0.33,Pacific Edge Ltd,,NZPEBE0001S5
FND20455,SALT CORE NZ SHARES FUND,PFI,Property for Industry,NZ,Property,0.31,Property for Industry Ltd,,NZPFIE0001S5
FND20455,SALT CORE NZ SHARES FUND,IPL,Investore Property,NZ,Property,0.29,Investore Property Limited,,NZIPLE0001S3
FND20455,SALT CORE NZ SHARES FUND,KPG,Kiwi Property Group,NZ,Property,0.14,Kiwi Property Group Ltd,,NZKPGE0001S9
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,FPH,Fisher & Paykel Healthcare,NZ,Healthcare,15.43,Fisher & Paykel Healthcare,,NZFAPE0001S2
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,IFT,Infratil,NZ,Infrastructure,9.46,Infratil,,NZIFTE0003S3
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,MFT,Mainfreight,NZ,Industrials,7.07,Mainfreight,,NZMFTE0001S9
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,EBO,EBOS Group,NZ,Healthcare,6.15,EBOS Group,,NZEBOE0001S6
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,AIA,Auckland International Airport,NZ,Infrastructure,6.09,Auckland International Airport,,NZAIAE0002S6
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,ATM,a2 Milk Company,NZ,Consumer Staples,5.72,a2 Milk Company,,NZATME0002S8
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,SUM,Summerset Group,NZ,Retirement,5.12,Summerset Group,,NZSUME0001S0
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,CEN,Contact Energy,NZ,Gentailers,4.79,Contact Energy,,NZCENE0001S6
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,RYM,Ryman Healthcare,NZ,Retirement,4.03,Ryman Healthcare,,NZRYME0001S4
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,XRO,Xero,NZ,Technology,2.57,Xero,,NZXROE0001S6
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,SCL,Scales Corp,NZ,Consumer Staples,2.54,Scales NZ,,NZSCLE0002S8
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,CSL,CSL,AU,Healthcare,2.49,CSL,,AU000000CSL8
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,PCT,Precinct Properties,NZ,Property,2.22,Precinct Properties Group,,NZAPTE0001S3
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,MEL,Meridian Energy,NZ,Gentailers,1.92,Meridian Energy,,NZMELE0002S7
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,FBU,Fletcher Building,NZ,Industrials,1.82,Fletcher Building,,NZFBUE0001S0
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,BHP,BHP Group,AU,Materials,1.56,BHP Group,,AU000000BHP4
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,FRW,Freightways Group,NZ,Industrials,1.43,Freightways Group,,NZFREE0001S0
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,SKO,Serko,NZ,Technology,1.43,Serko,,NZSKOE0001S7
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,RIO,Rio Tinto,AU,Materials,1.12,Rio Tinto,,AU000000RIO1
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,GTK,Gentrack Group,NZ,Technology,1.06,Gentrack Group,,NZGTKE0002S9
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,PEB,Pacific Edge,NZ,Healthcare,0.95,Pacific Edge,,NZPEBE0001S5
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,VGL,Vista Group International,NZ,Technology,0.88,Vista Group International,,NZVGLE0003S1
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,GMG,Goodman Group,AU,Property,0.87,Goodman Group,,AU000000GMG2
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,RMD,ResMed,AU,Healthcare,0.83,ResMed,,US7611521078
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,MCY,Mercury NZ,NZ,Gentailers,0.76,Mercury NZ,,NZMRPE0001S2
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,VSL,Vulcan Steel,AU,Industrials,0.4,Vulcan Steel,,AU0000181984
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,VHP,Vital Healthcare Property Trust,NZ,Property,0.38,Vital Healthcare Property Trust,,NZCHPE0001S4
FND1421,HARBOUR AUSTRALASIAN EQUITY FUND,KMD,KMD Brands,NZ,Consumer Discretionary,0.31,KMD Brands,,NZKMDE0001S3
FND1240,FISHER FUNDS PREMIUM NEW ZEALAND FUND,FPH,Fisher & Paykel Healthcare,NZ,Healthcare,19.02,Fisher & Paykel Healthcare Corp Ltd,,NZFAPE0001S2
FND1240,FISHER FUNDS PREMIUM NEW ZEALAND FUND,IFT,Infratil,NZ,Infrastructure,11.8,Infratil Limited,,NZIFTE0003S3
FND1240,FISHER FUNDS PREMIUM NEW ZEALAND FUND,MFT,Mainfreight,NZ,Industrials,9.37,Mainfreight Limited,,NZMFTE0001S9
FND1240,FISHER FUNDS PREMIUM NEW ZEALAND FUND,XRO,Xero,NZ,Technology,7.94,Xero Limited,,NZXROE0001S6
FND1240,FISHER FUNDS PREMIUM NEW ZEALAND FUND,SUM,Summerset Group,NZ,Retirement,7.76,Summerset Group Ltd,,NZSUME0001S0
